Group,Quarter_Num,Sunset_GPA,A_share,B_share,C_share,DF_share,RMP_Difficulty,RMP_Quality,RMP_Review_Count,CAPES_Study_Hours,CAPES_GPA,CAPES_Count
Social Sciences,2022.75,138.20574955685098,0.5299935497742421,0.2764996774887121,0.14254998924962373,0.05095678348742206,2.5172413793103448,3.6724137931034484,58,,,
Social Sciences,2023.0,154.31404953091044,0.6374485596707818,0.21954732510288066,0.10349794238683127,0.03950617283950617,3.037037037037037,3.814814814814815,54,5.252784810126583,3.340253164556962,158.0
Social Sciences,2023.25,162.54502021340912,0.599250936329588,0.24316826189485366,0.11277569704535996,0.044805104730198365,3.1052631578947367,3.768421052631579,95,5.069431818181818,3.321875,176.0
Social Sciences,2023.75,298.5389659812521,0.5269631031220435,0.27483443708609273,0.13327814569536423,0.06492431409649953,3.0784313725490198,3.5980392156862746,102,,,
Social Sciences,2024.0,136.52193772442791,0.6284705882352941,0.24894117647058825,0.09058823529411765,0.032,3.217821782178218,3.633663366336634,101,,,
Social Sciences,2024.25,96.01365506336762,0.6196721311475409,0.2439344262295082,0.0966120218579235,0.039781420765027324,2.9381443298969074,4.206185567010309,97,,,
Social Sciences,2024.75,119.45315122380495,0.6603017444601603,0.2204148986327204,0.08934464875058934,0.02993870815652994,2.8,3.5,130,,,
Social Sciences,2025.0,69.22986212155426,0.6671172693477526,0.19939168638053398,0.0767151064548834,0.05677593781683001,2.6540880503144653,4.037735849056604,159,,,
Social Sciences,2025.25,83.68224093475918,0.6912350597609562,0.1997011952191235,0.07121513944223108,0.037848605577689244,2.951923076923077,4.048076923076923,104,,,
Social Sciences,2025.75,56.28041660789073,0.42807505211952745,0.2863099374565671,0.18207088255733148,0.103544127866574,2.8051948051948052,4.038961038961039,154,,,
